DTM_NAME,sitename,quality,resolution,relat_le,triang_rms,cov_sqkm,n_pits_in_dtm,pit_names,n_rille_segments,n_unique_rilles,crater_per_km2,n_chain_strips,score_pits,score_rilles,score_crater_inv,score_quality,score_flagship,score_total
SCHRODVENT4,Schrödinger G Vent,good,5,2.83,0.291,254.14,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
FRESHMELT1,Fresh Impact Melt near Virtanen,good,2,1.28,1.23,172.47,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SIMPELIUS,Simpelius,good,2,1.7,0.201,132.4,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
ESALL_CR1,Connecting Ridge Potential Landing Site for ESA Lunar Lander,good,2,0.0,0.5,23.44,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
ESALL_MP1,Malapert Massif Peak Potential Landing Site for ESA Lunar Lander,good,2,0.0,0.5,24.51,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
ESALL_SR12,Shackleton Crater Rim Potential Landing Site for ESA Lunar Lander,good,2,0.0,0.5,17.25,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
VIKRAMSITE1,Chandrayaan-3 Landing Site (Pre-Landing),good,3,1.92,0.27,346.58,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
NOBILE02,NW Rim of Nobile Crater,good,4,3.7,0.113,74.42,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
MALAPERT03,Malapert Massif,good,4,3.39,0.251,65.29,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
NOBILE04,Mons Mouton and Nobile Crater Rim,good,3,2.72,0.348,269.01,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
CMPTNBELK2,Compton Belkovich 2,good,2,1.31,0.56,176.96,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
MALAPERT02,Malapert Massif,good,4,3.31,0.251,136.33,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
COMPTONBELK,Compton Belkovich - Small Dome,good,2,1.98,0.222,140.38,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
NOBILE03,Terrain near Nobile crater rim and Mons Mouton,good,4,3.7,0.109,15.17,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
NRTHCRTRIII,North Crater III,good,5,3.95,0.0,1373.85,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
NRTHCRTRII,North Crater II,good,6,4.47,0.0,1316.65,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SIMPELIUS01,Site NE of Simpelius G,good,2,0.72,0.138,87.76,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SIMPELIUS02,Site NE of Simpelius N,good,2,0.8,0.138,90.48,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
MOOREF1,Moore F,good,2,1.35,0.199,146.0,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
APOLLO12,Apollo 12 Landing Site,good,2,0.8,0.268,13.01,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SCHRODNGR02,Schrodinger Crater Site,good,4,2.82,0.58,20.01,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SCHRODNGR03,Schrodinger Crater Site,good,3,2.61,0.228,18.99,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SCHRODVENT1,Schrödinger G Vent,good,5,1.89,0.291,123.62,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
NOBILE01,Nobile Crater,good,3,2.96,0.142,54.14,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SCHRODNGR01,Schrodinger Crater Site,good,5,2.2,0.287,35.88,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
LARMORQ1,Larmor Q,good,2,1.12,0.558,148.12,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
CHANGE501,Chang'e 5 Landing Site,good,3,1.89,0.46,37.8,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
MALAPERT01,Northwest Malapert Massif,good,4,3.27,0.183,74.61,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
MALAPERTA01,Malapert A,good,3,0.94,0.24,190.9,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
BOGSLWSKY1,North of Boguslawsky Crater,good,2,0.98,0.12,117.01,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
GRAIL,GRAIL Impact Site,good,6,3.79,0.0,695.62,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SCHRODVENT,Schrödinger G Vent,good,5,2.83,0.291,601.15,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SCHRODVENT2,Schrödinger G Vent,good,5,1.79,0.291,207.23,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
